Job_ID,Arrival_Time,Due_Date,Weight,Num_Operation
0,0,23,1,4
1,2,31,3,7
2,6,28,3,2
3,13,24,3,3
4,13,33,1,5
5,19,62,0,7
6,19,41,3,2
7,23,36,1,2
8,24,47,3,5
9,25,40,2,3
10,28,55,0,5
11,30,52,1,4
12,31,63,0,5
13,33,42,0,3
14,34,67,2,6
15,34,66,2,5
16,36,62,1,5
17,38,43,0,1
18,40,70,3,5
19,42,70,0,7
20,48,64,3,4
21,50,79,1,6
22,51,81,0,7
23,53,68,0,5
24,54,70,2,3
25,55,68,3,3
26,57,81,0,2
27,58,64,0,1
28,61,84,1,5
29,65,92,2,7
30,67,84,0,1
31,68,83,0,2
32,73,89,0,1
33,76,85,0,1
34,79,112,0,6
35,81,108,1,3
36,85,118,1,7
37,88,115,3,4
38,95,134,3,7
39,99,112,2,2
40,102,134,1,6
41,104,128,2,4
42,108,138,1,5
43,109,135,1,5
44,116,121,0,1
45,119,152,0,7
46,120,141,3,1
47,121,155,3,6
48,123,148,1,4
49,124,151,1,4
