Job_ID,Arrival_Time,Due_Date,Weight,Num_Operation
0,2,20,1,3
1,3,38,0,7
2,5,12,2,1
3,9,20,1,3
4,12,36,2,6
5,14,30,2,1
6,19,39,0,4
7,22,34,3,2
8,29,56,2,5
9,33,54,1,7
10,39,56,1,1
11,43,54,0,2
12,45,75,0,4
13,46,72,3,4
14,52,89,3,6
15,61,89,1,7
16,64,97,0,7
17,71,92,0,6
18,74,101,1,5
19,77,113,0,5
20,83,103,1,4
21,86,109,2,2
22,89,101,3,1
23,95,129,1,5
24,101,106,1,1
25,106,131,0,7
26,109,142,0,5
27,113,135,2,7
28,117,126,3,1
29,121,146,0,4
30,124,139,1,5
31,128,146,1,5
32,135,159,3,5
33,139,162,3,6
34,144,173,0,6
35,147,160,0,3
36,150,182,0,6
37,152,172,1,6
38,155,182,1,5
39,158,174,0,3
40,160,196,1,6
41,161,177,3,2
42,166,185,3,3
43,170,191,3,2
44,177,210,0,7
45,181,203,3,5
46,186,211,2,4
47,188,218,0,5
48,189,216,3,3
49,197,223,1,3
50,200,218,3,2
51,205,213,2,1
52,209,214,3,1
53,211,246,3,6
54,215,238,0,3
55,219,231,1,2
56,222,257,1,6
57,226,247,1,5
58,231,234,3,1
59,235,256,2,7
60,236,259,3,7
61,237,264,3,4
62,237,259,3,3
63,240,270,0,7
64,242,272,1,5
65,247,278,1,6
66,251,269,2,6
67,254,277,2,4
68,263,295,0,7
69,267,277,0,1
70,268,289,1,6
71,270,287,2,1
72,276,287,2,3
73,277,286,0,2
74,283,304,2,4
75,285,297,1,2
76,292,325,0,7
77,298,300,3,1
78,303,307,3,1
79,307,336,0,6
80,312,342,3,6
81,316,332,2,3
82,318,343,0,7
83,321,334,1,4
84,329,356,2,4
85,333,370,3,6
86,339,367,0,4
87,343,378,1,5
88,343,365,1,7
89,346,361,3,4
90,351,379,2,4
91,353,386,1,7
92,358,367,3,2
93,367,393,1,4
94,371,384,2,1
95,380,397,2,6
96,386,402,0,6
97,389,402,2,1
98,390,397,0,2
99,395,400,2,1
100,398,434,3,7
101,400,422,3,4
102,403,412,3,3
103,403,426,1,5
104,409,439,0,7
105,417,450,2,5
106,421,430,3,4
107,430,447,0,4
108,434,448,0,5
109,436,460,1,3
110,442,468,0,4
111,447,486,2,6
112,453,475,0,7
113,456,482,3,3
114,460,477,0,1
115,463,485,1,4
116,467,498,2,5
117,470,489,1,1
118,473,506,3,7
119,474,481,3,1
120,481,506,3,4
121,484,517,1,5
122,487,522,2,6
123,492,507,0,3
124,494,520,2,6
125,497,524,2,3
126,499,524,0,7
127,505,544,1,7
128,506,536,1,4
129,511,524,2,2
130,515,533,0,1
131,523,536,0,4
132,526,540,3,5
133,533,560,2,3
134,536,565,0,7
135,540,581,3,7
136,546,568,1,6
137,550,565,2,1
138,554,582,0,4
139,558,580,3,3
140,558,566,2,2
141,561,586,3,7
142,568,590,2,3
143,570,599,1,7
144,573,613,2,7
145,575,602,3,4
146,578,595,0,1
147,581,609,1,7
148,582,588,2,1
149,584,601,1,6
150,586,620,2,5
151,590,612,3,1
152,598,621,3,3
153,607,640,0,7
154,610,620,3,4
155,614,638,3,2
156,615,638,3,4
157,620,636,1,5
158,622,661,1,7
159,624,658,2,6
160,629,646,0,2
161,638,662,3,3
162,640,642,1,1
163,643,653,3,3
164,651,670,0,2
165,655,670,2,2
166,661,683,1,1
167,661,688,0,5
168,665,670,3,1
169,667,711,0,7
170,672,690,0,1
171,675,707,0,6
172,678,709,1,7
173,680,695,3,1
174,684,717,3,7
175,690,696,1,1
176,693,713,1,6
177,695,716,0,5
178,697,705,1,1
179,700,726,3,6
180,703,727,3,3
181,707,723,2,2
182,709,724,0,3
183,713,735,0,6
184,718,739,1,7
185,722,736,1,4
186,724,738,3,4
187,726,735,0,2
188,729,733,0,1
189,736,759,0,3
190,739,745,0,1
191,742,752,0,2
192,746,764,2,5
193,748,773,1,3
194,754,781,3,5
195,759,781,0,3
196,762,795,2,7
197,768,792,2,6
198,771,784,0,5
199,774,806,1,5
