Job_ID,Arrival_Time,Due_Date,Weight,Num_Operation
0,4,15,3,1
1,12,51,3,6
2,13,43,0,7
3,18,32,3,3
4,22,51,0,6
5,27,47,1,1
6,31,61,3,5
7,37,64,1,5
8,40,71,3,5
9,41,73,2,7
10,44,53,2,1
11,54,63,2,3
12,59,85,1,2
13,62,84,2,3
14,64,77,3,3
15,68,97,2,4
16,72,87,0,1
17,77,103,0,5
18,79,105,0,2
19,83,97,3,5
20,84,110,3,6
21,90,118,2,3
22,95,109,3,1
23,97,116,0,1
24,100,116,3,3
25,104,141,3,7
26,109,118,3,2
27,111,130,2,2
28,117,130,1,4
29,118,143,3,5
30,122,129,2,2
31,128,156,3,7
32,133,151,2,5
33,140,171,0,7
34,144,170,0,3
35,148,157,2,2
36,151,170,2,3
37,154,180,0,5
38,158,189,3,5
39,162,180,2,3
40,165,184,3,2
41,169,192,1,7
42,171,200,0,6
43,174,195,1,6
44,177,205,0,7
45,181,192,0,4
46,184,203,1,6
47,190,214,1,4
48,194,218,0,2
49,195,210,1,4
