Operation_ID,Job_ID,Work_Load,Processing_Rate
0,0,4,"[ 3.59699368 13.64596673  6.84704191  4.85517989  2.62008294 12.7940369
  7.61040053 10.59204204  1.84600251  5.65347963]"
1,0,2,"[ 0.62032374  1.58081396 13.93393744 11.63937216  6.82276895  2.55228275
  3.54701747  9.65113029 12.60113717  8.62459453  5.51306965 10.98578968
 14.52719318]"
2,0,4,"[11.91729503 14.87271165  7.71310014 10.54844298  8.51793024  4.98087904
  9.77940612  5.5054218   2.94702958  6.58811435  3.63697356 13.60702533
  1.72133125]"
3,0,2,"[ 4.83769768 12.73233285 11.55336984  0.57288989 10.74654803  7.99187946
  3.60078868  5.77744401 13.63973559  8.61363135]"
4,0,2,"[13.65197809  7.79970994  0.86817548 10.6497279   4.9264316   2.66680867
  3.88505563 11.5780771  14.83480243  9.78914563  8.51493614  5.75109231
  1.76271607  6.77070692]"
5,0,4,"[11.59109914  8.67860954  4.60719757  3.74090631 10.67685214 13.92710705
  2.9459119   5.90406209]"
0,1,2,"[ 4.78236473 13.50494797 11.7059359   3.56150328  2.61158438  1.58104659
 10.80392671  5.65072764 14.5194715   7.66942534]"
1,1,4,"[ 2.78970622  4.65911873 12.58562034  7.71574412 11.93795346  8.50960132
  6.93663913 10.81312545 14.67016355  5.6367006   0.52446458]"
2,1,2,[7.87824846 0.53324027]
3,1,2,[1.87150041 9.6839641 ]
0,2,4,"[ 0.94661601 14.58899766  4.83174406  3.9133455   1.57467792  6.92293611
  7.66324692 12.68363741  2.69787022 10.62559772 11.78061763  8.95475891]"
0,3,3,[2.94441823 1.85003501]
1,3,2,"[ 1.72607726  9.98736036  7.71103529  6.91741702 14.90703228 10.70422876
  5.82716593 12.96036484]"
2,3,3,"[ 6.74637406 10.8789963   1.98144502  7.72155982  5.64616703  0.80895529
 12.93425267  3.66561111  4.81856697  9.55486146 13.69014249 11.62639492
 14.63305792]"
3,3,4,[6.90777567]
0,4,3,"[10.81110565  5.7791176  14.69577234  0.5983525   8.94134556  6.68805612
 11.53331221  2.90600684 12.7584804   1.69826744  7.72794536  9.85148118
  3.98186579]"
1,4,2,"[ 0.92136701  3.69035909 10.84330342 14.56765977  9.63601135  8.73182844
  5.73456051  2.89102619 12.66360952  7.70930507 11.59737624]"
2,4,2,"[14.77820461  0.56332554  6.9967315   8.55799661  5.56495667  4.79559076
  9.5176588   7.62864399  1.77652516  3.77184222 12.84397247  2.5104519
 10.63843903]"
3,4,3,"[ 1.96121746  4.54305091  9.67542312  3.62634387  7.79867669 12.82441205
  8.97325444  6.86781193  2.988507    5.72426741 11.99894186 13.76523111
 14.89702783  0.96746208 10.84054836]"
4,4,2,[4.52237785 3.79939592 9.89116018]
5,4,4,"[ 6.78126886 14.7488998   5.66791859  8.91320882  2.773394    3.86896013
 13.65789839 12.76978522]"
6,4,3,[14.55660606 12.57795214]
0,5,3,"[13.52529899  4.82461118 10.54550722  7.79295397  9.59993416  6.58922918
  5.65455074  0.92689537  8.81415684 11.85252003]"
0,6,4,"[10.85518979 14.50681397 11.69700229  6.82035962  1.77015292  2.58815751
  9.67012078  8.66712022  3.62154991 13.59367112  7.91534569]"
1,6,2,"[ 0.94742003 14.95275266 12.88231672 11.63957097 13.51162237  3.83953259
  4.72647535  5.6559024   7.63341455  9.81184761  8.88270146  6.89704193
  1.73476952]"
2,6,2,[2.74758783 1.55088997 9.96351339]
0,7,4,[14.75074358  2.66835194 10.74735046  5.87550345  8.55948676]
1,7,3,[ 4.5624726  12.88638082]
2,7,3,"[10.98579152  9.83682975  1.75133666 13.99804977  5.68725413  2.84811486
  4.60162111  7.90022927]"
3,7,2,"[ 3.87250061  0.79391217  2.97081567  1.93429771 10.72441574  5.72698222
  8.97427723 13.72676283  9.68482733  6.66728233]"
0,8,3,"[ 2.99717938  7.61524429 13.95620062  8.93554951 10.78234175  1.62552384
 14.9048871  12.95136566  5.7236154   4.52210679  9.76504708  6.73004725
  3.72742866 11.68263919]"
1,8,3,[12.86234975 10.51146889  6.77116526]
2,8,4,"[ 0.76912916  1.89470775 11.99205888  4.66513367  6.65615687 14.93553007
  7.62626901  9.74957526 13.64872624  2.89934049  5.57953459  3.77856311
 10.64315606]"
3,8,2,"[ 5.94781006 10.88862724 14.66133298  8.59112947  7.88082391  6.9387036
 11.50734006  3.96385524  4.82287841 13.65360531  0.89196253]"
4,8,3,[6.62355504]
5,8,2,[12.891138    4.54535319  7.6501322   3.66660787]
0,9,4,"[12.96243971 14.58847671  4.977235   11.79128782  3.59607254  2.69485858
  1.76192745  7.74977428  6.81806659  9.75062023 13.63748076  0.75098644
  8.60532663 10.5178688 ]"
1,9,3,[3.7510488]
2,9,2,[11.89049395  3.93231645  5.60143258  4.95671345 14.83031518]
0,10,4,[12.98875928  8.66542444  5.92796425  4.83871636]
1,10,3,[4.62859094]
2,10,3,"[ 3.64253009 11.94163193  1.70474597  7.99154577  8.56007933  4.6233009
  0.74543913 14.72554457 13.64384789  9.92175338 10.54834893]"
3,10,4,[ 7.74094839  4.80656208 14.9080089   1.65019561 11.85786129]
4,10,4,[13.54043843 12.6437155   5.55237107 11.82734379  8.69126694]
5,10,3,[ 8.78770971 13.66241297  3.70776417  7.58941965 12.62863851]
6,10,2,"[ 1.75561654 14.71328017  6.7852542   3.54510893  8.643527   13.84611654
  2.69849234]"
0,11,4,"[14.98134925  3.68706506  4.72086007 13.53694179  7.92641912 10.79188124
  2.56454025  8.82166058 11.56846266  6.68878989  5.7341655  12.68221494]"
0,12,4,[ 6.70188323 11.5261026   4.92200976]
1,12,4,[14.51804827  2.60113698]
2,12,2,[11.98256577]
3,12,3,"[ 6.94946124  5.98108497  3.97250343 13.76495733  9.67595757  8.69246704
  7.84728575  0.52086933 14.72796571  1.57552605]"
4,12,4,[9.97548401 1.91551136]
0,13,4,[ 8.94736355  0.98846361  1.61441177 12.97503651 11.54495136]
1,13,4,"[ 0.70818185  1.56258836  9.90942913  4.89089381  3.63366711  2.94942071
 10.92585288]"
2,13,4,"[ 5.76116689  8.50113133  7.8073863   6.74520234  1.75639626 14.55741951
 13.54109651  2.96582651  3.52360541 11.56258345]"
3,13,2,"[11.72933045  4.75967088 12.55930233  6.52247398  0.62062885 13.63845573
  8.5745241   9.97763415  3.97661247]"
4,13,4,"[13.89303574  8.65354324 12.84398178  1.72676337  6.79192791  4.67529739
  2.67967093  0.73338199  3.99257299  9.83203811  7.88025769 14.59319977]"
5,13,3,"[11.94854874  4.95567497  9.5512107  10.57366246  6.79558177  5.84893827
  2.79008143  3.74227965  1.99480402 13.57007577  7.50833775 12.91712747
  8.62057774 14.60078322  0.99685629]"
6,13,2,"[ 8.77787142 10.68258598  9.61192199 11.87182905  6.93012088 13.55969097
  5.77601374]"
0,14,2,[ 3.56130245 12.56326717 13.60314457]
