Operation_ID,Job_ID,Work_Load,Processing_Rate
0,0,2,"[0.65443601 1.84953688 4.77281441 3.95632215 7.57532262 5.93324436
 6.91673764]"
1,0,2,[4.69910326 7.52453643 1.80790506]
2,0,2,[4.85966973 6.63195841 2.64769255]
3,0,2,[7.84052142 6.91316512 3.71108609]
0,1,2,[3.96060846 6.58533341 1.89351925 7.51521061 0.67618403]
0,2,2,[0.6707223  4.98294299 5.58440217 1.81762989 3.73626717]
0,3,4,[6.53774171 7.86104359 2.6993447  4.77479091 3.58009495 1.68156138]
1,3,3,"[4.73279702 0.78700628 3.7408906  2.53964846 5.65030361 7.60093556
 1.52624454]"
2,3,2,[3.98493149 4.87593661 6.65231276]
3,3,3,[6.73794269 4.52396017 0.99072012]
0,4,4,[7.59316586]
1,4,3,"[4.82252043 2.72755996 1.679739   0.76862613 6.80369471 7.66790987
 3.65004666]"
2,4,3,[5.84250074]
3,4,3,"[5.62629169 7.81808542 6.97005798 2.69250442 4.51290399 0.82384124
 1.77800751 3.52545076]"
4,4,2,"[4.86869291 5.90894031 2.92368074 0.84534407 6.59536775 7.93121422
 1.65928864]"
5,4,2,[4.77291473 0.90353972 7.81114099 3.60927071 2.87848842 5.51822877]
0,5,3,"[1.98664767 3.8659254  7.95759457 4.73467958 0.52816083 2.61046515
 6.59883477]"
1,5,2,"[7.71503892 1.53576579 4.88591852 2.83570004 6.66733094 0.52476599
 3.51098322 5.89290639]"
2,5,4,"[2.99454262 0.51760076 6.89627354 5.77614511 7.9041397  3.92236301
 1.68249639 4.96725577]"
3,5,4,[1.51340611 2.68552678 7.59893096]
4,5,2,[2.59926488 5.69684204 7.72094058]
0,6,2,[4.62683734]
1,6,3,"[3.79611466 0.91329969 5.56446478 2.58141821 1.86403497 4.95481393
 7.72435165 6.79091566]"
0,7,2,[5.55645502 4.54153397]
1,7,4,[0.85379994]
2,7,4,"[1.62265573 4.80535009 3.74699387 2.84367513 5.6782233  0.96492193
 7.60992579 6.89144574]"
3,7,3,[2.78020992 0.98051438 4.58666204 6.57202729 3.66107286]
4,7,3,[4.76649497 6.61395244 7.86760491 5.56277278 3.53054164 0.91120564]
5,7,3,[0.75207799 2.85085758 4.52274314]
6,7,2,[3.84923982 2.59907833 6.59055716 0.96685733 4.99698363 7.93430611]
0,8,2,[2.88121677]
1,8,3,[2.81831636 7.74648461]
2,8,4,"[1.67500286 3.77092485 0.94799022 7.73713636 6.77472495 2.83310391
 4.52205867 5.85795513]"
3,8,3,[7.52091983 4.64332098]
0,9,2,[7.56227713 6.83175035 0.62238417 5.70394821]
1,9,2,[4.50922671 6.65983746 5.79861316 2.68073995 1.70199842]
2,9,4,[0.81877485]
3,9,4,"[5.72871325 1.88813106 4.8723367  6.98793846 3.91382818 0.9301973
 2.85257849 7.6457659 ]"
4,9,2,[3.52864967 7.77109313]
0,10,3,[1.57058693 7.67998897]
