Operation_ID,Job_ID,Work_Load,Processing_Rate
0,0,3,[1.95278139 3.63572354 4.59700553 0.75901071 2.66737496]
1,0,2,[2.89025349 0.98456965 4.54138845 3.5058475  1.52402425]
2,0,3,[1.94017154 4.99528111 0.92662545 2.661112  ]
3,0,4,[4.77963347 3.57387334 0.52740306]
0,1,3,[1.58004033 2.58048328 3.96077153 0.91397608]
1,1,4,[2.88872153 3.88187967 1.8854347 ]
2,1,4,[2.62520144 0.94294854 4.94629391 1.79350373]
3,1,4,[3.87385443 4.67493284 1.71713022 0.89923221 2.68414577]
4,1,2,[4.7087868  3.71236126]
5,1,2,[2.99484917 1.59370877 0.56471114]
6,1,4,[3.89900133 4.56548687]
0,2,3,[2.56289131 1.61490479 0.51785318 3.6212731  4.53788342]
1,2,3,[0.93963314 3.84386266 4.65827447 1.79282819]
0,3,3,[3.66507868]
1,3,4,[3.83032189 2.60662063]
2,3,4,[0.76027871 1.56270447]
0,4,4,[2.97548039]
1,4,3,[3.81081075]
2,4,4,[0.91680381 3.88191876 1.90570433 4.74189283 2.5355941 ]
3,4,4,[4.79241516 0.94953115 3.83705794 2.96077925 1.68754546]
4,4,2,[4.80800391 2.62815064]
0,5,3,[2.82839561]
1,5,3,[0.80331013 3.76352829 4.83093249]
2,5,3,[0.68312673 3.82177862 2.78834695]
3,5,4,[2.64175598 4.54680401 3.62827622 1.85440832]
4,5,4,[2.86611246]
5,5,4,[3.55731044 1.61570279]
6,5,4,[2.77715489 4.87633537 3.63458286 0.53155637]
0,6,4,[4.6027971  1.69064904 2.7939047  0.79341318 3.77221078]
1,6,3,[1.99051777 2.89773688]
0,7,3,[4.73320755 0.86934117 2.95413589 3.65988422]
1,7,2,[1.68233217]
0,8,3,[3.96233149 4.75188091 0.83042237 2.77848481]
1,8,2,[1.9955799  2.73780562 4.95011991 0.89500814]
2,8,3,[3.52141392]
3,8,2,[0.9127321 3.792254 ]
4,8,4,[2.72750514 0.63121549 4.56001179]
0,9,2,[1.74347345 4.59315708 3.57985359 0.66199177 2.99547023]
1,9,4,[4.74671223 1.64108515]
